Wild type,,,,,
"1/26/98,4","1/23/98,4","2/4/98,2","2/6/98,2","2/10/98,3",time
113.5681634848,120.3899082569,85.3271028037,111.678222907,113.5699261097,30.082238
119.4783543963,121.7947247706,106.0046728972,105.0205444273,111.2669219567,30.915541
119.8063995698,124.9426605505,96.9742990654,117.5590652286,106.0029124643,31.748844
115.2137671417,119.6903669725,106.9548286604,108.5451977401,103.0365136724,32.582147
118.494218876,120.0401376147,95.3076323988,110.8949666153,113.898926703,33.41545
126.7007260016,121.0894495413,99.5872274143,105.8038007191,105.3449112777,34.248753
121.7746706104,119.3405963303,95.0700934579,115.2092963534,109.9509195836,35.082056
116.197902662,120.0401376147,97.2118380062,107.3703133025,102.7075130791,35.915359
122.1027157838,121.0894495413,97.2118380062,113.6363636364,107.9769160239,36.748662
120.7905350901,122.1444954128,91.7445482866,103.8456599897,116.2073243083,37.581965
124.732454961,116.5424311927,84.1394080997,103.0559835645,112.2539237366,38.415268
116.197902662,121.7947247706,101.0124610592,103.0559835645,108.9639178038,39.248571
115.5418123151,119.6903669725,99.1121495327,111.2865947612,107.9769160239,40.081874
115.2137671417,111.995412844,104.8169781931,105.4121725732,104.3525160455,40.915177
116.197902662,115.4931192661,100.062305296,109.7200821777,103.0365136724,41.74848
112.9120731379,120.0401376147,105.2920560748,102.6643554186,107.3189148374,42.581783
117.5100833557,118.9908256881,97.2118380062,108.1535695942,107.3189148374,43.415086
117.5100833557,123.8933486239,92.457165109,104.6289162815,109.6219189903,44.248389
112.5840279645,122.1444954128,95.5490654206,108.5451977401,112.9119249231,45.081692
116.197902662,123.1938073394,103.8668224299,102.2727272727,114.8913219352,45.914995
116.8539930089,115.1433486239,94.8325545171,99.1397021058,104.0235154522,46.748298
